Tweet,Emotion
"Am I the only #Mahomie who notices that @AustinMahone Has almost 300,000 Mahomies?!?!? <333 #PROUD", happiness
"I'm only yours ! #love", happiness
"No new modern family tonight #disappointed", sadness
"Aaliyahs Christmas is almost done ;) #Excitement", happiness
"I hate when I drive at night and people coming towards me or behind me have their brights on. #annoying", anger
"I think I miss my boyfriend.. :( #lonely", sadness
"@StephEODonnell which is exactly why I never go to the shark #sad", sadness
"adam levinne is my #love #sohot", happiness
"I love you my God! I'm so proud of you, of what you've done for us:) You are truly amazing!!! #faith #love #God", happiness
"I dont get this cold one day im good the next i feel like shit then better again #annoying", anger
"It doesn't really make sense that the Big EAST now has 4 teams from way WEST. #desperation", sadness
"t-minus 10 minutes until interview timeeeee. #nervous", fear
"my back has to get better..i hav a busy fun weekend!!! and cant wait for next weekend Dinner with the fam + extra guest :) #excited", happiness
"@TheMik_chaelas Im always excited especially when it comes to my Adele. #Love", happiness
"@NathanTheWanted Please could you wish me good luck with my prelims? :D It would honestly mean so much! #nervous xx", fear
"Restless nights cuz of a bad shoulder #annoyed", anger
"Ugh. I have too continue my great turkey weekend with my dads gf and her 3 weird kids. #annoyed", anger
"@vickylheywood did you find your key #worried", fear
"Enjoying the look on my brother's face after eating a wasabi nut with nutella on it #disgusting", disgust
"@ATTILAga on warped tour would be perfect. #RAGE", anger
"@XxSOo_DOPE_YOxX I heard a commercial on the radio last night that was talkin bout yu... #Proud!!", happiness
"Had a good night :') @teeeelouise #happy", happiness
"Shoutout to everybody tell me #HappyBDay thank y'all #Love", happiness
"#WorstChristmasGiftEver your missus' sitting on someone elses lap and asking for a present. #Rage", anger
"A little attitude problem all good it'll make ishh last.. :) #Love", happiness
"Hey #RedRoofInn: I want to charge my phone, overnight, NEXT TO ME; not across the room. Outlets NEXT to the bed would be lovely. #frustrated", anger
"@justinbieber i see all these beliebers getting noticed, but I haven't gotten noticed :/! #DEPRESSING 5", sadness
"@leenadalmartin how is the tennis going? #nervous", fear
"Wateva mks u happy, am down...#sad", sadness
"jack johnson as i write my research paper #love", happiness
"watching Home Alone.. love the family Christmas classic! #happy", happiness
"MY LIFE IS LIKE A ROLLERCOASTER, COMING OFF THE TRACKS SPINNING ROUND AND ROUND @tinchystryder #LOVE !!!", happiness
"I think I'm bout to buy a gas mask bong #Love", happiness
"Gotta go see mom...and Grammy. #sad", sadness
"My whole car just gave some homeless guy money. #Proud", happiness
"@AllTimeAlexFans @TeamJoMerr lovin all the love! #love", happiness
"Everyone assumed we'd have a repeat of 9-11. Who thought we'd have a repeat of the Virginia Tech Shooting. #depressing #todayssocietysucks", sadness
"Has a mental illness HUGE LOL #anxiety", fear
"Can already tell these people are going to drive me crazy!? Ugh. #annoyed @keh0415", anger
"@samantha_lynn48 i cant even get on mix!#annoying", anger
"Forgot the world revolved around you #annoying", anger
"x2! “@Julia7089: People who don't understand the stand on the right, walk on the left rule on elevators #annoying”", anger
"I'm currently defending all of 3 coats from the dangerous coat thieves at the village green. #exciting #sarcasm", happiness
"&i was praying that you&me might end up together..#love", happiness
"Im by myself on a Saturday night...... #DEPRESSED", sadness
"my phone dies like five times a day #annoying", anger
"CC im sorry..but i aint gonna be making that trip. #homesick", sadness
"I think that beliebers ask too much for @justinbieber . He isn't Superman... #sad", sadness
"Watching @justinbieber Christmas special! <3 <3 <3 #LOVE #BieberOnTLC", happiness
"Today's not going as planned :( #sad", sadness
"Can we all just take this moment to appreciate the fact that I have finally started my personal statement #proud", happiness
"Loves being in first gear on the motorway!!! Drive properly you commuting arseholes #frustrating", anger
"@illieface sounds like something amazing! #excitement", happiness
"@onsmith92 @sarah_marinara miss both of you. caaant wait to see you guys #excited", happiness
"I wonder what the kardashians are doing right now @KimKardashian @KhloeKardashian kourt k #love", happiness
"School. The only place where drinking milk and eating pizza together is acceptable. #disgust #Smh", disgust
"#Oomfs thought I was talking about him on my tweets haha -__- #Embarrassing", sadness
"That moment when you realize that Aladdin is the same person who played Steve, DJ's boyfriend on full house #LOVE", happiness
"Got a special surprise for my ol lady today.She always there for me,so I have to continue to let her know she is appreciated!#Love", happiness
"so i am very excited to be spending tuesday with my BFF @LivCollins12 for her birthday goin to see Footloose #excited #birthdayparty", happiness
"The snow is melting #disappointed", sadness
"If you live with an open heart and an open mind you will find the happiness you are looking for. #happiness", happiness
"3 hour nap on a Sunday afternoon listening to Jarvis Cocker #bliss", happiness
"if only i had a photographic memory!!! #bliss", happiness
"Thinkin bout my actions ! & How ima fix them !:) #Happy", happiness
"She's not here again #surprise", surprise
"Ugh You Like The Virus That Took Over My Lap Top #Annoying", anger
"Going to Las Vegas in the morning. :) Won't be back until Monday night! #excited #WhatHappensInVegasStaysInVegas", happiness
"@Z_Witt is writing me a note tomorrrrrrow <3 #excited", happiness
"@TheRealHalstead GUESS WHAT? i'm back onnn twitter. :) time to be #happy.", happiness
"@clara_ferren has played marry the night by lady gaga over 100 times today.. About to throw her ipod out the window #annoyed", anger
"who even are you anymore? #youchanged #yupisaidit #annoyed", anger
"Wow why can't my mom be more like my dad! #annoyance", anger
"and block b is really popular in ireland ^____^ yayyyy #proud", happiness
"I hate taking naps in the day time because they hinder me from sleeping at night #frustrated", anger
"Hey mom. Sometimes you dont have to talk bad about me. #annoyed #extremelyangry #idoalotofthingsthataregoodtoo", anger
"A smile will never appear on that pretty face of yours.. #depressed", sadness
"Well looks like I'm not going to the game #Disappointed", sadness
"Can't sleep :-( #annoyed! x", anger
"Bullies in bulletproof :D #Bliss", happiness
"Good luck girly! @manda_kelly6: Going to tumbling and working on whip through to double. #love”", happiness
"i wish i had somebody to cuddle with right now #lonely", sadness
"Emily's not here yet. #worried.", fear
"There is a woman at the begining of all great things. - Alphonse de Lamartine #OTG #LOVE", happiness
"@BryWillz good ish so tired from vacation last week!! I wish you still lived here :( #sad", sadness
"Just got 75 out of 50 on my french presentation #excited", happiness
"Hoy le gané a la alarmaa..!! #proud :3", happiness
"Dat nigga JD went 4rm rappin wit Jay Z & doin errbody remixes 2 DJ'n da club... #Sad", sadness
"Shit. Fuck you to those random people adding me on fb. I don't even know you. So fuck off. #annoyed.", anger
"I will do a presentation:'( #nervous", fear
"@leicestermark @alfieboe me too! Front row in Bournemouth! #excited", happiness
"Seriously if I get these dates approved i'll be spending the night in atl b4 I hit augusta for homecoming.. #excited", happiness
"What a good sunday!! No piano class!#happy", happiness
"Eww we have school tommorw #depressing", sadness
"About to watch the LST Choir perform Christmas songs at the LST Lobby :) #Excited #Inspired #Advent", happiness
"Son just gave us his Christmas wishlist. As an html file. With nested lists, divs, and a table. Color coded. #proud", happiness
"Loved hearing the bewdley school people going to school, and just rolling over #bliss", happiness
"Uhm so Melanie ain't all that w/o make-up. #disappointed", sadness
"Step one of 'The Project' complet:) glad:-) very glad:-):-) #happy #basicBASEMENT", happiness
"@seriouslybl ooooo there were podcast?? :O I need to hear it asap lol, do you still have the link hun?? #excited", happiness
